data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-14T23:39:14,50-59,261210,0,261210,27.49,0,2021-01-14T23:58:01
2021-01-14T23:39:14,60-69,147484,0,147484,19.86,0,2021-01-14T23:58:01
2021-01-14T23:39:14,70-79,27272,0,27272,4.54,0,2021-01-14T23:58:01
2021-01-14T23:39:14,80-89,34647,0,34647,9.5,0,2021-01-14T23:58:01
2021-01-14T23:39:14,90+,25895,0,25895,32.59,0,2021-01-14T23:58:01
2021-01-14T23:39:14,16+,960838,0,960838,18.53,0,2021-01-14T23:58:01
2021-01-15T23:36:04,16-19,2814,0,2814,1.21,0,2021-01-15T23:58:01
2021-01-15T23:36:04,20-29,116771,0,116771,18.97,0,2021-01-15T23:58:01
2021-01-15T23:36:04,30-39,166006,0,166006,23.88,0,2021-01-15T23:58:01
2021-01-15T23:36:04,40-49,214988,0,214988,23.78,0,2021-01-15T23:58:01
2021-01-15T23:36:04,50-59,280047,0,280047,29.47,0,2021-01-15T23:58:01
2021-01-15T23:36:04,60-69,157600,0,157600,21.23,0,2021-01-15T23:58:01
2021-01-15T23:36:04,70-79,30618,0,30618,5.1,0,2021-01-15T23:58:01
2021-01-15T23:36:04,80-89,40925,0,40925,11.22,0,2021-01-15T23:58:01
2021-01-15T23:36:04,90+,29597,0,29597,37.25,0,2021-01-15T23:58:01
2021-01-15T23:36:04,16+,1039366,0,1039366,20.05,0,2021-01-15T23:58:01
2021-01-16T23:32:42,16-19,3212,0,3212,1.38,0,2021-01-16T23:58:02
2021-01-16T23:32:42,20-29,127307,0,127307,20.68,0,2021-01-16T23:58:02
2021-01-16T23:32:42,30-39,177024,0,177024,25.46,0,2021-01-16T23:58:02
2021-01-16T23:32:42,40-49,229410,0,229410,25.38,0,2021-01-16T23:58:02
2021-01-16T23:32:42,50-59,298511,0,298511,31.42,0,2021-01-16T23:58:02
2021-01-16T23:32:42,60-69,168892,0,168892,22.75,0,2021-01-16T23:58:02
2021-01-16T23:32:42,70-79,34259,0,34259,5.7,0,2021-01-16T23:58:02
2021-01-16T23:32:42,80-89,47474,0,47474,13.02,0,2021-01-16T23:58:02
2021-01-16T23:32:42,90+,32505,0,32505,40.91,0,2021-01-16T23:58:02
2021-01-16T23:32:42,16+,1118594,0,1118594,21.57,0,2021-01-16T23:58:02
2021-01-17T23:30:00,16-19,3299,0,3299,1.42,0.0,2021-01-17T23:58:02
2021-01-17T23:30:00,20-29,131940,220,132160,21.43,0.04,2021-01-17T23:58:02
2021-01-17T23:30:00,30-39,181003,404,181407,26.03,0.06,2021-01-17T23:58:02
2021-01-17T23:30:00,40-49,234558,497,235055,25.95,0.05,2021-01-17T23:58:02
2021-01-17T23:30:00,50-59,305031,709,305740,32.1,0.07,2021-01-17T23:58:02
2021-01-17T23:30:00,60-69,173327,440,173767,23.34,0.06,2021-01-17T23:58:02
2021-01-17T23:30:00,70-79,35856,19,35875,5.97,0.0,2021-01-17T23:58:02
2021-01-17T23:30:00,80-89,51169,3,51172,14.03,0.0,2021-01-17T23:58:02
2021-01-17T23:30:00,90+,33962,5,33967,42.74,0.01,2021-01-17T23:58:02
2021-01-17T23:30:00,16+,1150145,2297,1152442,22.18,0.04,2021-01-17T23:58:02
2021-01-18T23:30:00,16-19,3385,0,3385,1.46,0.0,2021-01-18T23:58:02
2021-01-18T23:30:00,20-29,135033,500,135533,21.93,0.08,2021-01-18T23:58:02
2021-01-18T23:30:00,30-39,184952,982,185934,26.6,0.14,2021-01-18T23:58:02
2021-01-18T23:30:00,40-49,239782,1324,241106,26.53,0.15,2021-01-18T23:58:02
2021-01-18T23:30:00,50-59,311787,1858,313645,32.82,0.2,2021-01-18T23:58:02
2021-01-18T23:30:00,60-69,177176,1279,178455,23.86,0.17,2021-01-18T23:58:02
2021-01-18T23:30:00,70-79,37511,103,37614,6.24,0.02,2021-01-18T23:58:02
2021-01-18T23:30:00,80-89,54765,70,54835,15.01,0.02,2021-01-18T23:58:02
2021-01-18T23:30:00,90+,36204,53,36257,45.56,0.07,2021-01-18T23:58:02
2021-01-18T23:30:00,16+,1180595,6169,1186764,22.77,0.12,2021-01-18T23:58:02
2021-01-19T20:05:16,16-19,2469,0,2469,1.06,0.0,2021-01-19T23:58:01
2021-01-19T20:05:16,20-29,130574,570,131144,21.21,0.09,2021-01-19T23:58:01
2021-01-19T20:05:16,30-39,186915,1088,188003,26.88,0.16,2021-01-19T23:58:01
2021-01-19T20:05:16,40-49,239224,1460,240684,26.46,0.16,2021-01-19T23:58:01
2021-01-19T20:05:16,50-59,317662,2130,319792,33.43,0.22,2021-01-19T23:58:01
2021-01-19T20:05:16,60-69,189588,1403,190991,25.53,0.19,2021-01-19T23:58:01
2021-01-19T20:05:16,70-79,40392,106,40498,6.72,0.02,2021-01-19T23:58:01
2021-01-19T20:05:16,80-89,56677,71,56748,15.54,0.02,2021-01-19T23:58:01
2021-01-19T20:05:16,90+,40363,53,40416,50.8,0.07,2021-01-19T23:58:01
2021-01-19T20:05:16,16+,1203864,6881,1210745,23.22,0.13,2021-01-19T23:58:01
2021-01-20T20:48:03,16-19,1975,2,1977,0.85,0.0,2021-01-20T23:58:02
2021-01-20T20:48:03,20-29,130305,665,130970,21.16,0.11,2021-01-20T23:58:02
2021-01-20T20:48:03,30-39,192348,1474,193822,27.67,0.21,2021-01-20T23:58:02
2021-01-20T20:48:03,40-49,243161,2015,245176,26.9,0.22,2021-01-20T23:58:02
2021-01-20T20:48:03,50-59,326425,2721,329146,34.36,0.29,2021-01-20T23:58:02
2021-01-20T20:48:03,60-69,198131,1804,199935,26.68,0.24,2021-01-20T23:58:02
2021-01-20T20:48:03,70-79,42937,166,43103,7.15,0.03,2021-01-20T23:58:02
2021-01-20T20:48:03,80-89,60611,177,60788,16.62,0.05,2021-01-20T23:58:02
2021-01-20T20:48:03,90+,45850,136,45986,57.7,0.17,2021-01-20T23:58:02
2021-01-20T20:48:03,16+,1241743,9160,1250903,23.95,0.18,2021-01-20T23:58:02
2021-01-21T17:46:02,16-19,1575,2,1577,0.68,0.0,2021-01-21T23:58:01
2021-01-21T17:46:02,20-29,130567,1827,132394,21.21,0.3,2021-01-21T23:58:01
2021-01-21T17:46:02,30-39,194657,4259,198916,28.0,0.61,2021-01-21T23:58:01
2021-01-21T17:46:02,40-49,245218,5488,250706,27.13,0.61,2021-01-21T23:58:01
2021-01-21T17:46:02,50-59,329596,7391,336987,34.69,0.78,2021-01-21T23:58:01
2021-01-21T17:46:02,60-69,200942,4659,205601,27.06,0.63,2021-01-21T23:58:01
2021-01-21T17:46:02,70-79,44111,415,44526,7.34,0.07,2021-01-21T23:58:01
2021-01-21T17:46:02,80-89,62485,558,63043,17.13,0.15,2021-01-21T23:58:01
2021-01-21T17:46:02,90+,47967,467,48434,60.37,0.59,2021-01-21T23:58:01
2021-01-21T17:46:02,16+,1257118,25066,1282184,24.25,0.48,2021-01-21T23:58:01
2021-01-22T19:03:32,16-19,1602,3,1605,0.69,0.0,2021-01-22T23:58:02
